question,context,true_answers,predicted_answer
طرح ساخت فرودگاه امام خمینی چه سالی مطرح شد؟,فرودگاه بین‌المللی امام خمینی در ۳۰ کیلومتری تهران بزرگ ، در حوزه اداری و سیاسی شهرری (بخش فشافویه ری) تهران میان آزادراه تهران-قم در یک سایت ۱۴ هزار هکتاری قرار گرفته‌است. این فرودگاه به عنوان جایگزین فرودگاه بین‌المللی مهرآباد طراحی گردید که اکنون در داخل بافت شهر تهران قرار گرفته‌است. فرودگاه امام را شرکت شهر فرودگاهی امام خمینی اداره می‌کند و مرکز فعالیت شرکت‌های هواپیمایی ایران ایر، ماهان ایر، هواپیمایی آسمان، قشم ایر، هواپیمایی کاسپین، هواپیمایی تابان و هواپیمایی زاگرس است. تا اوت ۲۰۱۴ فرودگاه امام خمینی میزبان بیش از ۴۰ شرکت هواپیمایی بوده که با بیش از ۷۰۰ پرواز هفتگی تهران را به شهرهایی در بیش از ۳۰ کشور جهان متصل می‌کنند. فاز ۱ فرودگاه بین‌المللی امام خمینی دارای یک پایانه مسافربری فعال با ظرفیت جابجایی ۶/۵ میلیون مسافر و ۱۲۰ هزار تن بار در سال بوده و فاز ۲ فرودگاه نیز در حال ساخت است. پیشنهاد ساخت این فرودگاه به سال ۱۳۴۶ و پیشنهاد سازمان ایکائو جهت ساخت فرودگاهی مجهز برای استفاده از توان ترانزیتی ایران بین اروپا و آسیا بازمی‌گردد. این طرح در سال ۱۳۵۱ و با نام «فرودگاه بین‌المللی آریامهر» به تصویب هیئت دولت وقت ایران رسید.,"['۱۳۵۱', '۱۳۵۱ و با نام «فرودگاه بین\u200cالمللی آریامهر»']",به سال ۱۳۴۶
فرودگاه امام خمینی به پیشنهاد کی ساخته شد؟,فرودگاه بین‌المللی امام خمینی در ۳۰ کیلومتری تهران بزرگ ، در حوزه اداری و سیاسی شهرری (بخش فشافویه ری) تهران میان آزادراه تهران-قم در یک سایت ۱۴ هزار هکتاری قرار گرفته‌است. این فرودگاه به عنوان جایگزین فرودگاه بین‌المللی مهرآباد طراحی گردید که اکنون در داخل بافت شهر تهران قرار گرفته‌است. فرودگاه امام را شرکت شهر فرودگاهی امام خمینی اداره می‌کند و مرکز فعالیت شرکت‌های هواپیمایی ایران ایر، ماهان ایر، هواپیمایی آسمان، قشم ایر، هواپیمایی کاسپین، هواپیمایی تابان و هواپیمایی زاگرس است. تا اوت ۲۰۱۴ فرودگاه امام خمینی میزبان بیش از ۴۰ شرکت هواپیمایی بوده که با بیش از ۷۰۰ پرواز هفتگی تهران را به شهرهایی در بیش از ۳۰ کشور جهان متصل می‌کنند. فاز ۱ فرودگاه بین‌المللی امام خمینی دارای یک پایانه مسافربری فعال با ظرفیت جابجایی ۶/۵ میلیون مسافر و ۱۲۰ هزار تن بار در سال بوده و فاز ۲ فرودگاه نیز در حال ساخت است. پیشنهاد ساخت این فرودگاه به سال ۱۳۴۶ و پیشنهاد سازمان ایکائو جهت ساخت فرودگاهی مجهز برای استفاده از توان ترانزیتی ایران بین اروپا و آسیا بازمی‌گردد. این طرح در سال ۱۳۵۱ و با نام «فرودگاه بین‌المللی آریامهر» به تصویب هیئت دولت وقت ایران رسید.,"['سازمان ایکائو', 'ایکائو']",به سال ۱۳۴۶ و پیشنهاد سازمان ایکائو
زمین فرودگاه امام خمینی چند هکتاره؟,فرودگاه بین‌المللی امام خمینی در ۳۰ کیلومتری تهران بزرگ ، در حوزه اداری و سیاسی شهرری (بخش فشافویه ری) تهران میان آزادراه تهران-قم در یک سایت ۱۴ هزار هکتاری قرار گرفته‌است. این فرودگاه به عنوان جایگزین فرودگاه بین‌المللی مهرآباد طراحی گردید که اکنون در داخل بافت شهر تهران قرار گرفته‌است. فرودگاه امام را شرکت شهر فرودگاهی امام خمینی اداره می‌کند و مرکز فعالیت شرکت‌های هواپیمایی ایران ایر، ماهان ایر، هواپیمایی آسمان، قشم ایر، هواپیمایی کاسپین، هواپیمایی تابان و هواپیمایی زاگرس است. تا اوت ۲۰۱۴ فرودگاه امام خمینی میزبان بیش از ۴۰ شرکت هواپیمایی بوده که با بیش از ۷۰۰ پرواز هفتگی تهران را به شهرهایی در بیش از ۳۰ کشور جهان متصل می‌کنند. فاز ۱ فرودگاه بین‌المللی امام خمینی دارای یک پایانه مسافربری فعال با ظرفیت جابجایی ۶/۵ میلیون مسافر و ۱۲۰ هزار تن بار در سال بوده و فاز ۲ فرودگاه نیز در حال ساخت است. پیشنهاد ساخت این فرودگاه به سال ۱۳۴۶ و پیشنهاد سازمان ایکائو جهت ساخت فرودگاهی مجهز برای استفاده از توان ترانزیتی ایران بین اروپا و آسیا بازمی‌گردد. این طرح در سال ۱۳۵۱ و با نام «فرودگاه بین‌المللی آریامهر» به تصویب هیئت دولت وقت ایران رسید.,"['۱۴ هزار هکتار', '۱۴ هزار']",۱۴ هزار هکتاری
آشیانه اصلی شرکت هواپیمایی ماهان کجاست؟,هواپیمایی ماهان شرکت هواپیمایی خصوصی ایرانی است و آشیانه اصلی این شرکت در شهر کرمان قرار دارد. این شرکت در سال ۱۳۷۱ در کرمان تأسیس گردید و نام ماهان ایر نیز برگرفته از ماهان شهری در ۳۵ کیلومتری کرمان است. سهام‌دار عمدهٔ این شرکت مؤسسه خیریه مولی‌الموحدین است. شرکت هواپیمایی ماهان هم‌اکنون ناوگانی متشکل از ۳۷ فروند هواپیمای مسافربری و باری را در اختیار دارد و روزانه به ۲۰ مقصد، در اروپا، آسیا و خاورمیانه، پروازهای مستقیم دارد. این شرکت هواپیمایی از سال ۲۰۱۱ به دلیل خدمات‌رسانی به سپاه پاسداران، تحت تحریم آمریکا، و از ۲۰۱۹ با ممنوعیت پرواز آلمان و فرانسه قرار دارد. برخی منابع هواپیمایی ماهان را عامل انتقال ویروس کرونا به ایران می‌دانند. شرکت هواپیمایی ماهان، به مرکزیت شهر تهران، از لحاظ ناوگان هوایی و مسافر حمل شده به عنوان بزرگترین شرکت هواپیمایی ایران به‌شمار می‌آید. این شرکت در سال ۱۳۷۱ با برخورداری از دو فروند هواپیمای مسافربری، تأسیس گردید. در سال ۱۳۷۸ اولین هواپیمای ایرباس ای۳۰۰ به ناوگان هواپیمایی ماهان ملحق گردید و در سال ۱۳۷۹ به عضویت در انجمن بین‌المللی حمل‌ونقل هوایی (یاتا) پیوست.,"['در شهر کرمان', 'کرمان']",شهر کرمان
شرکت هواپیمایی ماهان چندتا هواپیما داره؟,هواپیمایی ماهان شرکت هواپیمایی خصوصی ایرانی است و آشیانه اصلی این شرکت در شهر کرمان قرار دارد. این شرکت در سال ۱۳۷۱ در کرمان تأسیس گردید و نام ماهان ایر نیز برگرفته از ماهان شهری در ۳۵ کیلومتری کرمان است. سهام‌دار عمدهٔ این شرکت مؤسسه خیریه مولی‌الموحدین است. شرکت هواپیمایی ماهان هم‌اکنون ناوگانی متشکل از ۳۷ فروند هواپیمای مسافربری و باری را در اختیار دارد و روزانه به ۲۰ مقصد، در اروپا، آسیا و خاورمیانه، پروازهای مستقیم دارد. این شرکت هواپیمایی از سال ۲۰۱۱ به دلیل خدمات‌رسانی به سپاه پاسداران، تحت تحریم آمریکا، و از ۲۰۱۹ با ممنوعیت پرواز آلمان و فرانسه قرار دارد. برخی منابع هواپیمایی ماهان را عامل انتقال ویروس کرونا به ایران می‌دانند. شرکت هواپیمایی ماهان، به مرکزیت شهر تهران، از لحاظ ناوگان هوایی و مسافر حمل شده به عنوان بزرگترین شرکت هواپیمایی ایران به‌شمار می‌آید. این شرکت در سال ۱۳۷۱ با برخورداری از دو فروند هواپیمای مسافربری، تأسیس گردید. در سال ۱۳۷۸ اولین هواپیمای ایرباس ای۳۰۰ به ناوگان هواپیمایی ماهان ملحق گردید و در سال ۱۳۷۹ به عضویت در انجمن بین‌المللی حمل‌ونقل هوایی (یاتا) پیوست.,"['ناوگانی متشکل از ۳۷ فروند هواپیما', '۳۷ فروند هواپیمای مسافربری و باری']",دو فروند هواپیمای مسافربری
پایگاه ایران ایر برای پرواز های خارجی کجاست؟,ایران ایر شرکت هواپیمایی حامل پرچم ایران با نام رسمی هواپیمایی جمهوری اسلامی ایران است که در ایران از ابتدای تأسیس با نام هُما (هواپیمایی ملی ایران) شناخته می‌شود. ایران‌ایر که یکی از قدیمی‌ترین شرکت‌های هواپیمایی فعال در خاورمیانه است هم‌اکنون به بیش از ۴۰ مقصد داخلی و بین‌المللی پرواز انجام می‌دهد. دفتر مرکزی ایران‌ایر در فرودگاه مهرآبادتهران قرار دارد و پایگاه اصلی پروازی این شرکت که بیشتر پروازهای ایران‌ایر از مبدأ یا به مقصد آن انجام می‌شود برای پروازهای داخلی فرودگاه مهرآباد و برای پروازهای خارجی فرودگاه امام خمینی تهران است. بر اساس آمار، ایران ایر سالیانه بیش از ۶ میلیون مسافر را جابه‌جا می‌کند. در سال ۱۳۱۸ خورشیدی رضا شاه پهلوی دستور داد باشگاهی ملی برای هوانوردی تأسیس شود که هزینه آن را مردم تأمین کنند. با پولی که مستقیماً از مردم جمع‌آوری شد، ۲۵ فروند هواپیما از آمریکا به بهای مجموعاً ۱۲۸۱۵۱دلار و وسائل و تجهیزات لازم برای فرودگاه و قطعات یدکی به بهای ۳۶۵۴۷۳۱ ریال خریداری شد. زمین کنونی فرودگاه مهرآباد به مساحت یک میلیون و چهارصد هزار متر مربع انتخاب و با هزینه پنج هزار و ششصد تومان تسطیح شد.,"['فرودگاه امام خمینی', 'فرودگاه امام خمینی']",فرودگاه امام خمینی تهران
فرودگاه بین المللی دوبی کجاست؟,فرودگاه بین‌المللی دوبی فرودگاه اصلی شهر دوبی در کشور امارات متحده عربی است که پررفت‌وآمدترین فرودگاه جهان بر پایهٔ جابه‌جایی مسافران بین‌المللی محسوب می‌شود و همچنین سومین فرودگاه پررفت‌وآمد جهان بر پایه شمار مسافر و ششمین فرودگاه پررفت‌وآمد بر پایهٔ جابه‌جایی بار است. این فرودگاه پررفت‌وآمدترین قطب شرکت هواپیمایی برای ایرباس ای۳۸۰ است. در سال ۲۰۱۴ میلادی، فرودگاه بین‌المللی دوبی ۷۰٫۵ میلیون مسافر و ۲٫۳۷ میلیون تن بار را جابه‌جا کرد و ۳۵۷٫۳۳۹ پرواز از این فرودگاه انجام شد. فرودگاه بین‌المللی دوبی با مساحتی بالغ بر ۲٬۹۰۰ هکتار (۷٬۲۰۰ جریب فرنگی) در شهرک القرهود، در ۲٫۵ مایل دریایی (۴٫۶ کیلومتر؛ ۲٫۹ مایل) شرق دوبی قرار دارد. فرودگاه توسط شرکت فرودگاه‌های دوبی اداره می‌شود و قطب اصلی شرکت‌های هواپیمایی دوبی، یعنی هواپیمایی امارات و فلای‌دبی است؛ قطب هواپیمایی امارات، بزرگ‌ترین قطب در خاورمیانه است. هواپیمایی امارات در حال حاضر ۶۴٪ رفت‌وآمد همهٔ مسافران و ۵۰٪ همهٔ پروازهای این فرودگاه را انجام می‌دهد. همچنین، فرودگاه بین‌المللی دوبی قطب شرکت هواپیمایی ارزان‌قیمت فلای‌دبی نیز هست که ۱۰٫۷٪ رفت‌وآمد مسافران این فرودگاه را برعهده دارد.,"['شهر دوبی در کشور امارات متحده عربی', 'امارات متحده عربی']",فرودگاه اصلی شهر دوبی در کشور امارات متحده عربی
بزرگترین قطب هواپیمایی در خاورمیانه کدوم شرکته؟,فرودگاه بین‌المللی دوبی فرودگاه اصلی شهر دوبی در کشور امارات متحده عربی است که پررفت‌وآمدترین فرودگاه جهان بر پایهٔ جابه‌جایی مسافران بین‌المللی محسوب می‌شود و همچنین سومین فرودگاه پررفت‌وآمد جهان بر پایه شمار مسافر و ششمین فرودگاه پررفت‌وآمد بر پایهٔ جابه‌جایی بار است. این فرودگاه پررفت‌وآمدترین قطب شرکت هواپیمایی برای ایرباس ای۳۸۰ است. در سال ۲۰۱۴ میلادی، فرودگاه بین‌المللی دوبی ۷۰٫۵ میلیون مسافر و ۲٫۳۷ میلیون تن بار را جابه‌جا کرد و ۳۵۷٫۳۳۹ پرواز از این فرودگاه انجام شد. فرودگاه بین‌المللی دوبی با مساحتی بالغ بر ۲٬۹۰۰ هکتار (۷٬۲۰۰ جریب فرنگی) در شهرک القرهود، در ۲٫۵ مایل دریایی (۴٫۶ کیلومتر؛ ۲٫۹ مایل) شرق دوبی قرار دارد. فرودگاه توسط شرکت فرودگاه‌های دوبی اداره می‌شود و قطب اصلی شرکت‌های هواپیمایی دوبی، یعنی هواپیمایی امارات و فلای‌دبی است؛ قطب هواپیمایی امارات، بزرگ‌ترین قطب در خاورمیانه است. هواپیمایی امارات در حال حاضر ۶۴٪ رفت‌وآمد همهٔ مسافران و ۵۰٪ همهٔ پروازهای این فرودگاه را انجام می‌دهد. همچنین، فرودگاه بین‌المللی دوبی قطب شرکت هواپیمایی ارزان‌قیمت فلای‌دبی نیز هست که ۱۰٫۷٪ رفت‌وآمد مسافران این فرودگاه را برعهده دارد.,"['هواپیمایی امارات', 'هواپیمایی امارات']",هواپیمایی امارات و فلای‌دبی
فرودگاه بین المللی دوبی چندمین فرودگاه بر اساس جابجایی باره؟,فرودگاه بین‌المللی دوبی فرودگاه اصلی شهر دوبی در کشور امارات متحده عربی است که پررفت‌وآمدترین فرودگاه جهان بر پایهٔ جابه‌جایی مسافران بین‌المللی محسوب می‌شود و همچنین سومین فرودگاه پررفت‌وآمد جهان بر پایه شمار مسافر و ششمین فرودگاه پررفت‌وآمد بر پایهٔ جابه‌جایی بار است. این فرودگاه پررفت‌وآمدترین قطب شرکت هواپیمایی برای ایرباس ای۳۸۰ است. در سال ۲۰۱۴ میلادی، فرودگاه بین‌المللی دوبی ۷۰٫۵ میلیون مسافر و ۲٫۳۷ میلیون تن بار را جابه‌جا کرد و ۳۵۷٫۳۳۹ پرواز از این فرودگاه انجام شد. فرودگاه بین‌المللی دوبی با مساحتی بالغ بر ۲٬۹۰۰ هکتار (۷٬۲۰۰ جریب فرنگی) در شهرک القرهود، در ۲٫۵ مایل دریایی (۴٫۶ کیلومتر؛ ۲٫۹ مایل) شرق دوبی قرار دارد. فرودگاه توسط شرکت فرودگاه‌های دوبی اداره می‌شود و قطب اصلی شرکت‌های هواپیمایی دوبی، یعنی هواپیمایی امارات و فلای‌دبی است؛ قطب هواپیمایی امارات، بزرگ‌ترین قطب در خاورمیانه است. هواپیمایی امارات در حال حاضر ۶۴٪ رفت‌وآمد همهٔ مسافران و ۵۰٪ همهٔ پروازهای این فرودگاه را انجام می‌دهد. همچنین، فرودگاه بین‌المللی دوبی قطب شرکت هواپیمایی ارزان‌قیمت فلای‌دبی نیز هست که ۱۰٫۷٪ رفت‌وآمد مسافران این فرودگاه را برعهده دارد.,"['ششمین', 'ششمین فرودگاه پررفت\u200cوآمد']",سومین
اطلاعات به وسیله چی رمزگذاری می شن؟,رمزگُذاری، روند رمز کردن پیام‌ها یا اطلاعات است به گونه ای که تنها افراد مجاز قادر به خواندن آن باشند (با کُدگذاری یا کُدینگ اطلاعات اشتباه نشود). پیام یا اطلاعات با استفاده از یک الگوریتم، رمزگذاری شده و علائم رمزی به وجود می‌آید که فقط در صورت رمزگشایی قابل خواندن هستند. در رمزگذاری معمولاً یک کلید رمزگذاری شبه تصادفی تولید شده توسط یک الگوریتم، به کار گرفته می‌شود. اگر چه شاید رمزگشایی پیام بدون در اختیار داشتن کلید ممکن باشد، اما در یک رمزگذاری خوب، منابع محاسباتی زیادی برای این کار لازم است. یک گیرنده مجاز به راحتی می‌تواند پیام را با کلید تدارک دیده شده توسط صادرکننده پیام، رمزگشایی کند اما گیرنده غیرمجاز نمی تواند. هدف از رمزگذاری اطمینان از این است که فقط کسانی که مجاز به دستیابی اطلاعات (پیام یک متن یا یک فایل) هستند، قادر به خواندن آن و استفاده از کلید رمزگذاری باشند. مدت طولانی است که رمزگذاری به منظور تسهیل ارتباطات مخفی توسط دولت‌ها و ارتش مورد استفاده قرار گرفته‌است. در حال حاضر به‌طور معمول به منظور حفاظت از اطلاعات در انواع زیادی از سیستم‌های شخصی مورد استفاده قرار گرفته‌است.,"['الگوریتم', 'با استفاده از یک الگوریتم']",روند رمز کردن پیام‌ها یا اطلاعات
اطلاعات رمزگذاری شده را چجوری می توان خواند؟,رمزگُذاری، روند رمز کردن پیام‌ها یا اطلاعات است به گونه ای که تنها افراد مجاز قادر به خواندن آن باشند (با کُدگذاری یا کُدینگ اطلاعات اشتباه نشود). پیام یا اطلاعات با استفاده از یک الگوریتم، رمزگذاری شده و علائم رمزی به وجود می‌آید که فقط در صورت رمزگشایی قابل خواندن هستند. در رمزگذاری معمولاً یک کلید رمزگذاری شبه تصادفی تولید شده توسط یک الگوریتم، به کار گرفته می‌شود. اگر چه شاید رمزگشایی پیام بدون در اختیار داشتن کلید ممکن باشد، اما در یک رمزگذاری خوب، منابع محاسباتی زیادی برای این کار لازم است. یک گیرنده مجاز به راحتی می‌تواند پیام را با کلید تدارک دیده شده توسط صادرکننده پیام، رمزگشایی کند اما گیرنده غیرمجاز نمی تواند. هدف از رمزگذاری اطمینان از این است که فقط کسانی که مجاز به دستیابی اطلاعات (پیام یک متن یا یک فایل) هستند، قادر به خواندن آن و استفاده از کلید رمزگذاری باشند. مدت طولانی است که رمزگذاری به منظور تسهیل ارتباطات مخفی توسط دولت‌ها و ارتش مورد استفاده قرار گرفته‌است. در حال حاضر به‌طور معمول به منظور حفاظت از اطلاعات در انواع زیادی از سیستم‌های شخصی مورد استفاده قرار گرفته‌است.,"['رمزگشایی', 'فقط در صورت رمزگشایی']",تنها افراد مجاز قادر به خواندن آن باشند
چه کسایی می تونن اطلاعات رمزگذاری شده را بخوانند؟,رمزگُذاری، روند رمز کردن پیام‌ها یا اطلاعات است به گونه ای که تنها افراد مجاز قادر به خواندن آن باشند (با کُدگذاری یا کُدینگ اطلاعات اشتباه نشود). پیام یا اطلاعات با استفاده از یک الگوریتم، رمزگذاری شده و علائم رمزی به وجود می‌آید که فقط در صورت رمزگشایی قابل خواندن هستند. در رمزگذاری معمولاً یک کلید رمزگذاری شبه تصادفی تولید شده توسط یک الگوریتم، به کار گرفته می‌شود. اگر چه شاید رمزگشایی پیام بدون در اختیار داشتن کلید ممکن باشد، اما در یک رمزگذاری خوب، منابع محاسباتی زیادی برای این کار لازم است. یک گیرنده مجاز به راحتی می‌تواند پیام را با کلید تدارک دیده شده توسط صادرکننده پیام، رمزگشایی کند اما گیرنده غیرمجاز نمی تواند. هدف از رمزگذاری اطمینان از این است که فقط کسانی که مجاز به دستیابی اطلاعات (پیام یک متن یا یک فایل) هستند، قادر به خواندن آن و استفاده از کلید رمزگذاری باشند. مدت طولانی است که رمزگذاری به منظور تسهیل ارتباطات مخفی توسط دولت‌ها و ارتش مورد استفاده قرار گرفته‌است. در حال حاضر به‌طور معمول به منظور حفاظت از اطلاعات در انواع زیادی از سیستم‌های شخصی مورد استفاده قرار گرفته‌است.,"['افراد مجاز', 'افراد مجاز']",تنها افراد مجاز
رمزگذاری اطلاعات در ابتدا توسط کی استفاده می شده؟,رمزگُذاری، روند رمز کردن پیام‌ها یا اطلاعات است به گونه ای که تنها افراد مجاز قادر به خواندن آن باشند (با کُدگذاری یا کُدینگ اطلاعات اشتباه نشود). پیام یا اطلاعات با استفاده از یک الگوریتم، رمزگذاری شده و علائم رمزی به وجود می‌آید که فقط در صورت رمزگشایی قابل خواندن هستند. در رمزگذاری معمولاً یک کلید رمزگذاری شبه تصادفی تولید شده توسط یک الگوریتم، به کار گرفته می‌شود. اگر چه شاید رمزگشایی پیام بدون در اختیار داشتن کلید ممکن باشد، اما در یک رمزگذاری خوب، منابع محاسباتی زیادی برای این کار لازم است. یک گیرنده مجاز به راحتی می‌تواند پیام را با کلید تدارک دیده شده توسط صادرکننده پیام، رمزگشایی کند اما گیرنده غیرمجاز نمی تواند. هدف از رمزگذاری اطمینان از این است که فقط کسانی که مجاز به دستیابی اطلاعات (پیام یک متن یا یک فایل) هستند، قادر به خواندن آن و استفاده از کلید رمزگذاری باشند. مدت طولانی است که رمزگذاری به منظور تسهیل ارتباطات مخفی توسط دولت‌ها و ارتش مورد استفاده قرار گرفته‌است. در حال حاضر به‌طور معمول به منظور حفاظت از اطلاعات در انواع زیادی از سیستم‌های شخصی مورد استفاده قرار گرفته‌است.,"['دولت\u200cها و ارتش', 'توسط دولت\u200cها']",صادرکننده پیام
رمزگذاری چیه؟,رمزگُذاری، روند رمز کردن پیام‌ها یا اطلاعات است به گونه ای که تنها افراد مجاز قادر به خواندن آن باشند (با کُدگذاری یا کُدینگ اطلاعات اشتباه نشود). پیام یا اطلاعات با استفاده از یک الگوریتم، رمزگذاری شده و علائم رمزی به وجود می‌آید که فقط در صورت رمزگشایی قابل خواندن هستند. در رمزگذاری معمولاً یک کلید رمزگذاری شبه تصادفی تولید شده توسط یک الگوریتم، به کار گرفته می‌شود. اگر چه شاید رمزگشایی پیام بدون در اختیار داشتن کلید ممکن باشد، اما در یک رمزگذاری خوب، منابع محاسباتی زیادی برای این کار لازم است. یک گیرنده مجاز به راحتی می‌تواند پیام را با کلید تدارک دیده شده توسط صادرکننده پیام، رمزگشایی کند اما گیرنده غیرمجاز نمی تواند. هدف از رمزگذاری اطمینان از این است که فقط کسانی که مجاز به دستیابی اطلاعات (پیام یک متن یا یک فایل) هستند، قادر به خواندن آن و استفاده از کلید رمزگذاری باشند. مدت طولانی است که رمزگذاری به منظور تسهیل ارتباطات مخفی توسط دولت‌ها و ارتش مورد استفاده قرار گرفته‌است. در حال حاضر به‌طور معمول به منظور حفاظت از اطلاعات در انواع زیادی از سیستم‌های شخصی مورد استفاده قرار گرفته‌است.,"['روند رمز کردن پیام\u200cها یا اطلاعات', 'رمز کردن پیام\u200cها یا اطلاعات']",روند رمز کردن پیام‌ها یا اطلاعات است
باشگاه فوتبال آرسنال در چه سالی تاسیس شد؟,باشگاه فوتبال آرسنال یک باشگاه فوتبال انگلیسی در شمال شهر لندن است که موفق به کسب ۱۳ عنوان قهرمانی در لیگ برتر انگلستان، ۱۴ قهرمانی در جام حذفی فوتبال انگلستان ، ۱۶ قهرمانی در جام خیریه انگلستان و دو قهرمانی در جام اتحادیه فوتبال انگلستان شده‌است. آن‌ها رکورددار طولانی‌ترین مدت صدرنشینی بدون وقفه در لیگ فوتبال انگلیس، بیشترین بازی بدون باختِ پیاپی (۴۹ بازی) و همچنین قهرمانی بدون شکست در یک فصل (۰۴–۲۰۰۳) می‌باشند و توانستند اولین و تنها تیمی در تاریخ لیگ برتر باشند که جام طلایی را بدست می‌آورند. باشگاه فوتبال آرسنال در سال ۱۸۸۶ در محله وول‌ویچ واقع در جنوب‌شرقی لندن شکل گرفت و در سال ۱۸۹۳ میلادی برای اولین بار از جنوب انگلستان به فوتبال لیگ پیوست. در سال ۱۹۱۳ میلادی آن‌ها به شمال شهر لندن در منطقه هایبری و ورزشگاه آرسنال نقل مکان کردند. آرسنال رقابتی دیرینه با همسایه‌اش تاتنهام دارد که آن‌ها به‌طور منظم شهرآورد شمال لندن را برگزار می‌کنند. همچنین باشگاه آرسنال در رده هفتم باارزش‌ترین باشگاه‌های فوتبال جهان در سال ۲۰۱۹ با ارزش تقریبی ۲٬۳ میلیارد دلار قرار گرفته‌است.,"['۱۸۸۶', '۱۸۸۶']",در سال ۱۸۸۶
آرسنال چندمین باشگاه فوتبال با ارزش جهان بوده؟,باشگاه فوتبال آرسنال یک باشگاه فوتبال انگلیسی در شمال شهر لندن است که موفق به کسب ۱۳ عنوان قهرمانی در لیگ برتر انگلستان، ۱۴ قهرمانی در جام حذفی فوتبال انگلستان ، ۱۶ قهرمانی در جام خیریه انگلستان و دو قهرمانی در جام اتحادیه فوتبال انگلستان شده‌است. آن‌ها رکورددار طولانی‌ترین مدت صدرنشینی بدون وقفه در لیگ فوتبال انگلیس، بیشترین بازی بدون باختِ پیاپی (۴۹ بازی) و همچنین قهرمانی بدون شکست در یک فصل (۰۴–۲۰۰۳) می‌باشند و توانستند اولین و تنها تیمی در تاریخ لیگ برتر باشند که جام طلایی را بدست می‌آورند. باشگاه فوتبال آرسنال در سال ۱۸۸۶ در محله وول‌ویچ واقع در جنوب‌شرقی لندن شکل گرفت و در سال ۱۸۹۳ میلادی برای اولین بار از جنوب انگلستان به فوتبال لیگ پیوست. در سال ۱۹۱۳ میلادی آن‌ها به شمال شهر لندن در منطقه هایبری و ورزشگاه آرسنال نقل مکان کردند. آرسنال رقابتی دیرینه با همسایه‌اش تاتنهام دارد که آن‌ها به‌طور منظم شهرآورد شمال لندن را برگزار می‌کنند. همچنین باشگاه آرسنال در رده هفتم باارزش‌ترین باشگاه‌های فوتبال جهان در سال ۲۰۱۹ با ارزش تقریبی ۲٬۳ میلیارد دلار قرار گرفته‌است.,"['هفتم', 'هفتم']",در رده هفتم
کی تو کاخ باکینگهام زندگی می کنه؟,کاخ باکینگهام در لندن اقامتگاه اصلی خانواده سلطنتی بریتانیا است. این کاخ همچنین یکی از بزرگ‌ترین کاخ‌های سلطنتی فعال دنیاست. با قرار گرفتن در شهر وست‌مینستر، این کاخ اغلب مرکز رویدادهای عمومی ویژه و مهمانی‌های سلطنتی است. این مکان در هنگام جشن‌های ملی، مورد توجه بریتانیایی‌ها است. نام اصلی این مکان خانه باکینگهام است. ساختمانی که هسته کاخ امروزی را شکل می‌دهد، یک خانه شهری متعلق به دوک باکینگهام ساخته شده در سال ۱۷۰۳ در محلی بود که به مدت حداقل ۱۵۰ سال یک ملک شخصی به‌شمار می‌آمد. بعدها و در سال ۱۷۶۱، پادشاه جرج سوم آن را به تملک خود درآورد و به خانه شخصی ملکه شارلوت تبدیل کرد و نام آن به «خانه ملکه» مبدل شد. این عمارت در طول قرن ۱۹ ام، به وسیله دو معمار به نام‌های جان نش و ادوارد بلور توسعه یافت. آن‌ها پیرامون حیاط مرکزی سه قسمت درست کردند. کاخ باکینگهام در نهایت با به تخت نشستن ملکه ویکتوریا، در سال ۱۸۳۷، به کاخ سلطنتی رسمی بریتانیا تبدیل شد. آخرین ساختمان‌های اصلی، از جمله بخش نمای شرقی، که شامل یک ایوان مشهور بوده که خانواده سلطنتی به‌طور سنتی برای سلام دادن به جمعیت در آنجا جمع می‌شوند، در اواخر قرن ۱۹ام و اوایل قرن ۲۰ام اضافه شدند.,"['خانواده سلطنتی بریتانیا', 'خانواده سلطنتی بریتانیا']",ملکه ویکتوریا
